AI_ID,Genome,Sources,Total_Wins,Total_Losses,Total_Draws,Points
175,"[48, 14, 30, 26, 34, 15, 7, 30]",ga_gen_500.csv:gen24,396,423,7,399.5
176,"[34, 21, 17, 33, 29, 26, 26, 41]",ga_gen_500.csv:gen26,364,452,10,369.0
177,"[17, 39, 8, 2, 23, 7, 29, 27]",ga_gen_500.csv:gen28,380,435,11,385.5
178,"[45, 20, 11, 12, 19, 10, 18, 32]",ga_gen_500.csv:gen30,459,366,1,459.5
179,"[34, 24, 18, 24, 29, 31, 20, 30]",ga_gen_500.csv:gen32,420,397,9,424.5
180,"[12, 48, 32, 14, 25, 14, 16, 7]",ga_gen_500.csv:gen34,341,483,2,342.0
181,"[14, 24, 30, 4, 50, 0, 50, 47]",ga_gen_500.csv:gen36,461,354,11,466.5
182,"[32, 12, 27, 20, 3, 28, 33, 21]",ga_gen_500.csv:gen38,481,340,5,483.5
183,"[29, 41, 21, 33, 2, 43, 46, 18]",ga_gen_500.csv:gen40,363,446,17,371.5
184,"[28, 15, 29, 34, 37, 37, 19, 40]",ga_gen_500.csv:gen42,346,475,5,348.5
185,"[42, 20, 17, 29, 33, 25, 38, 16]",ga_gen_500.csv:gen44,406,413,7,409.5
186,"[48, 19, 23, 19, 24, 10, 21, 27]",ga_gen_500.csv:gen46,394,426,6,397.0
187,"[29, 4, 16, 15, 32, 37, 38, 29]",ga_gen_500.csv:gen48,406,409,11,411.5
188,"[36, 11, 44, 23, 32, 34, 42, 33]",ga_gen_500.csv:gen50,521,297,8,525.0
189,"[37, 40, 14, 16, 25, 38, 23, 47]",ga_gen_500.csv:gen52,279,533,14,286.0
190,"[28, 27, 7, 28, 17, 18, 15, 20]",ga_gen_500.csv:gen54,406,412,8,410.0
191,"[31, 33, 32, 36, 22, 24, 38, 23]",ga_gen_500.csv:gen56,429,396,1,429.5
192,"[27, 13, 29, 16, 31, 24, 19, 23]",ga_gen_500.csv:gen58,464,355,7,467.5
193,"[37, 36, 19, 18, 26, 20, 23, 22]",ga_gen_500.csv:gen60,409,412,5,411.5
194,"[35, 32, 25, 14, 2, 7, 47, 4]",ga_gen_500.csv:gen62,495,309,22,506.0
195,"[29, 27, 24, 8, 26, 19, 25, 23]",ga_gen_500.csv:gen64,452,370,4,454.0
