# Nonaga GA Run
# run_name: ga_gen_100
# timestamp: 2026-05-08T02:15:18
# raw_cli_args: --mode slurm --run-name ga_gen_100 --final-generations 100 --stage-generations 0 --stage-pop-size 14
# full_run_parameters:
#   final_generations: 100
#   log_file: /users/sc23ksk/nonaga-algorithm/GA results/ga_gen_100.csv
#   mode: slurm
#   run_name: ga_gen_100
#   stage_generations: 0
#   stage_k_opponents: 4
#   stage_pop_size: 14

=== Final Combined Round ===
range: 0:50
generations: 100
pop_size: 56
mutation_prob: 0.6
k_opponents: 12
depth: 3
max_moves: 30
genome_length: 8
mutation_rate: 0.8
Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome
66,0.8333333333333334,0.5,0.16666666666666666,"[34, 9, 42, 31, 24, 33, 38, 24]","[7, 37, 14, 24, 47, 40, 17, 45]","[35, 35, 40, 15, 28, 28, 28, 43]","[20, 18, 24, 30, 31, 28, 16, 38]","[40, 9, 44, 34, 27, 32, 40, 20]"
67,0.8333333333333334,0.49999999999999994,0.16666666666666666,"[33, 0, 8, 18, 10, 13, 14, 39]","[20, 12, 18, 48, 34, 15, 11, 8]","[32, 8, 3, 13, 8, 35, 32, 19]","[34, 7, 40, 48, 50, 36, 25, 33]","[32, 15, 11, 40, 34, 27, 33, 40]"
68,0.8333333333333334,0.5000000000000001,0.16666666666666666,"[42, 11, 12, 12, 19, 43, 42, 23]","[44, 13, 28, 15, 2, 46, 35, 31]","[31, 20, 32, 34, 42, 38, 23, 34]","[14, 3, 11, 34, 27, 15, 40, 37]","[38, 28, 26, 10, 45, 23, 10, 39]"
69,0.8333333333333334,0.5000000000000001,0.16666666666666666,"[44, 16, 23, 26, 31, 29, 23, 35]","[30, 19, 32, 34, 41, 36, 24, 34]","[43, 0, 4, 25, 14, 42, 26, 43]","[30, 2, 19, 19, 50, 26, 30, 10]","[27, 9, 1, 24, 22, 20, 20, 43]"
70,0.7916666666666666,0.5,0.16666666666666666,"[27, 15, 18, 25, 15, 23, 46, 15]","[50, 10, 40, 42, 38, 2, 40, 23]","[12, 13, 48, 26, 41, 37, 5, 21]","[14, 17, 41, 36, 30, 48, 23, 25]","[26, 40, 11, 35, 25, 41, 25, 36]"
71,0.7916666666666666,0.49999999999999994,0.25,"[27, 15, 18, 25, 15, 23, 46, 15]","[37, 18, 6, 11, 11, 19, 49, 27]","[40, 18, 17, 12, 23, 12, 29, 26]","[23, 21, 46, 47, 34, 34, 44, 18]","[23, 14, 34, 45, 23, 20, 26, 25]"
72,0.9166666666666666,0.5,0.25,"[27, 15, 18, 25, 15, 23, 46, 15]","[11, 24, 22, 16, 15, 12, 25, 6]","[49, 19, 41, 26, 5, 14, 25, 39]","[38, 15, 26, 27, 33, 29, 20, 33]","[32, 35, 45, 38, 15, 13, 44, 4]"
73,0.7708333333333334,0.5,0.14583333333333334,"[12, 30, 3, 33, 28, 19, 29, 23]","[45, 10, 32, 20, 2, 40, 42, 38]","[12, 25, 24, 16, 14, 12, 26, 10]","[44, 45, 26, 17, 8, 10, 38, 42]","[3, 33, 35, 42, 49, 43, 45, 26]"
74,0.8333333333333334,0.49999999999999994,0.16666666666666666,"[12, 30, 3, 33, 28, 19, 29, 23]","[20, 29, 5, 32, 24, 16, 33, 23]","[38, 45, 19, 5, 17, 22, 23, 1]","[10, 21, 8, 34, 30, 23, 34, 30]","[31, 30, 20, 28, 17, 9, 23, 42]"
75,0.75,0.5,0.25,"[39, 32, 27, 15, 35, 48, 36, 28]","[36, 35, 19, 37, 24, 20, 25, 20]","[39, 25, 0, 22, 24, 28, 36, 38]","[42, 18, 10, 49, 27, 26, 22, 11]","[13, 29, 6, 32, 29, 19, 28, 24]"
