Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome,Top_6_Genome,Top_7_Genome,Top_8_Genome,Top_9_Genome,Top_10_Genome
6,-5,-97.15,-134,"[-24, 36, 33, 45, 7, -14, 13, 9]","[-3, 5, -2, 11, 3, 3, 6, -3]","[-4, 2, 4, 12, 1, -6, 13, -3]","[-4, -1, 2, 8, 2, -5, 11, -2]","[-1, 5, -2, 11, 0, -6, 7, -3]","[-1, 5, 0, 6, 2, -7, 8, -3]","[1, 5, -6, 9, -1, -5, 5, 0]","[0, 6, -6, 9, -2, -5, 5, -1]","[-6, -6, 1, 7, 0, -5, 16, -5]","[-6, -3, 1, 13, -6, -8, 19, -8]"
7,-5,-93.6,-128,"[-24, 36, 33, 45, 7, -14, 13, 9]","[1, 8, -8, 11, 10, 3, 8, 8]","[0, 6, -6, 9, -2, 6, 5, -1]","[-5, 2, 4, 12, 1, -6, 12, -3]","[-5, 9, 0, 9, 0, 0, -3, 5]","[-1, 5, -3, 12, -1, -6, 8, -3]","[-2, 3, -1, 12, -2, -7, 11, -4]","[1, 5, -15, 5, 1, 1, 15, -4]","[1, 5, -6, 9, -1, -5, 5, 0]","[-6, -4, 6, 12, -5, -7, 18, -7]"
8,-5,-90.55,-120,"[-24, 36, 33, 45, 7, -14, 13, 9]","[8, -2, 6, 13, 7, -8, 16, 4]","[0, 5, -10, 8, 9, -2, 12, 9]","[-1, 2, -10, 8, 7, 3, 5, 4]","[-4, 10, 8, 15, -7, -6, 5, -6]","[-1, 5, -4, 13, -2, -6, 9, -3]","[-4, 3, 0, 10, 1, -6, 9, -2]","[-1, 5, -3, 12, -1, -6, 8, -3]","[-3, 2, -1, 12, -3, -7, 13, -5]","[10, 5, -13, 4, 0, -4, 0, 3]"
9,-5,-86.55,-120,"[-24, 36, 33, 45, 7, -14, 13, 9]","[7, 5, -3, 12, 9, 7, 8, -3]","[0, 5, 8, 10, 5, -4, 11, 6]","[6, -1, 4, 13, 5, -8, 15, 3]","[5, 1, -3, 16, -1, -10, 16, 0]","[-1, 5, -6, 11, 2, -4, 10, 2]","[8, 5, -5, 11, 2, -5, 3, 0]","[1, 4, -2, 13, 0, -6, 10, -2]","[4, 2, -6, 16, -4, -11, 16, -1]","[0, 4, -9, 6, -1, 6, 3, 2]"
0,-1,-121.6,-309,"[14, 32, -35, 22, 20, 37, -7, 16]","[17, -22, -17, 39, -11, 23, 29, 35]","[35, -18, 43, -22, 47, 1, 2, 5]","[49, 32, 3, -34, -15, 46, 32, -39]","[-38, 43, 17, 30, -23, 36, 0, -6]","[-16, -18, -23, -34, 22, 38, 28, 35]","[-24, -5, 40, 30, 19, -12, -10, -10]","[3, 35, 3, -43, 14, 7, -25, 22]","[43, 2, -32, -48, 49, 11, -9, -10]","[-45, 10, 8, 46, 10, 9, -14, -29]"
1,-1,-120.3,-238,"[14, 32, -35, 22, 20, 37, -7, 16]","[35, -18, 43, -22, 46, 1, 2, 5]","[22, 18, 17, -10, -2, 24, 16, -28]","[31, -11, 25, -11, 9, 0, -3, 12]","[3, 9, 26, 6, 6, 10, 6, -21]","[21, 8, -18, 14, -6, -27, -16, 29]","[-36, 23, 3, 33, -29, 23, -13, -16]","[2, -12, 12, -19, 0, 3, 5, -4]","[19, -10, 8, -25, 10, -12, -9, -1]","[-1, -11, 9, -19, -3, 4, 6, -5]"
2,-1,-113.6,-194,"[14, 32, -35, 22, 20, 37, -7, 16]","[12, 31, -32, 15, 16, 31, -9, 15]","[30, 1, 40, 1, 41, 8, 2, 3]","[13, -5, 30, -5, 23, 8, -3, -2]","[-14, 10, 16, 16, -6, 16, -8, -9]","[7, 27, 5, -13, -1, 5, -19, 9]","[-19, 6, 6, 8, -16, 14, -4, -11]","[-18, 6, 6, 6, -16, 13, -3, -10]","[-21, 22, -10, 17, -24, 11, -5, -10]","[19, -10, 8, -25, 10, -12, -9, -1]"
3,-1,-116.1,-194,"[14, 32, -35, 22, 20, 37, -7, 16]","[9, 29, -32, 14, 14, 30, -8, 14]","[0, 21, -17, 16, 4, 27, -6, 4]","[-5, 17, -12, 14, 0, 24, -5, 1]","[8, -7, 22, -11, 13, 5, 0, -2]","[4, -9, 17, -14, 8, 3, 2, -3]","[-6, -12, 5, 1, 2, 5, 5, -2]","[-19, 13, -1, 11, -19, 12, -4, -10]","[-20, 15, -3, 12, -21, 12, -4, -10]","[19, -10, 8, -25, 10, -12, -9, -1]"
4,-1,-103.05,-177,"[14, 32, -35, 22, 20, 37, -7, 16]","[8, 28, -31, 12, 12, 28, -8, 13]","[10, 24, -27, 9, 14, 25, -8, 12]","[4, 24, -31, 10, 14, 26, -6, 12]","[8, -7, 22, -11, 13, 5, 0, -2]","[8, -7, 22, -11, 13, 5, 0, -2]","[-3, 7, -8, 10, 3, 18, -1, 1]","[-3, 2, -4, 7, 3, 14, 0, 1]","[4, 0, 8, 5, 9, -19, 5, 5]","[8, -9, 15, -17, 8, -1, -1, -3]"
5,-1,-73.9,-152,"[14, 32, -35, 22, 20, 37, -7, 16]","[15, 23, -26, 12, 18, 27, -7, 12]","[15, 22, -25, 10, 17, 25, -8, 12]","[3, 17, 7, 10, 8, 0, 8, 8]","[8, 24, -26, 10, 12, 26, -7, 11]","[10, 23, -26, 8, 14, 24, -8, 12]","[6, 22, -26, 6, 13, 23, -7, 12]","[8, 1, 12, 4, 4, 8, 0, 3]","[2, 13, -16, 9, 7, 20, -3, 6]","[9, -3, 17, -9, 13, 7, 1, 0]"
6,-1,-67.55,-112,"[14, 32, -35, 22, 20, 37, -7, 16]","[15, 22, -25, 11, 18, 26, -7, 12]","[3, 12, -1, 9, 10, 2, 8, 7]","[15, 18, -21, 6, 16, 20, -8, 1]","[4, 10, -4, 9, 10, 2, 7, 7]","[8, 19, -22, 3, 13, 19, -7, 11]","[11, 17, -19, 3, 12, 17, -8, 9]","[4, 15, -19, 3, 13, 17, -5, 10]","[4, 12, -15, 7, 8, 18, -4, 6]","[17, 9, -11, -4, 14, 10, -8, 7]"
7,-1,-62.6,-107,"[14, 32, -35, 22, 20, 37, -7, 16]","[12, 28, -31, 16, 18, 31, -7, 14]","[10, 23, -26, 9, 15, 25, -7, 13]","[15, 19, -22, 7, 16, 22, -7, 11]","[8, 19, -22, 3, 13, 19, -7, 11]","[8, 19, -22, 3, 13, 19, -7, 11]","[11, 9, -14, 7, 14, 10, -1, 8]","[3, 10, 10, -5, 9, 8, 8, 0]","[14, 14, -16, 1, 14, 16, -8, 8]","[16, 14, -17, 2, 15, 2, 6, 2]"
8,-1,-58.85,-97,"[14, 32, -35, 22, 20, 37, -7, 16]","[11, 25, -28, 14, 16, 29, -7, 13]","[12, 19, -22, 5, 15, 21, -7, 11]","[11, 17, -21, 8, 15, 18, -4, 10]","[11, 19, -22, 5, 14, 20, -7, 11]","[11, 14, -19, 6, 14, 16, -4, 9]","[12, 9, 6, -7, 12, 6, 0, 9]","[10, 13, -17, 5, 14, 14, -3, 9]","[8, 19, -22, 3, 13, 19, -7, 11]","[11, 9, -14, 7, 14, 10, -1, 8]"
9,-1,-51.4,-97,"[14, 32, -35, 22, 20, 37, -7, 16]","[6, 25, 2, 16, 18, 9, -6, 13]","[11, 25, -26, 12, 16, 27, -6, 13]","[10, 25, -26, 12, 16, 27, -6, 12]","[11, 20, -24, 11, 16, 23, -4, 12]","[12, 17, -21, 5, 15, 19, -6, 10]","[11, 16, -20, 6, 14, 18, -5, 10]","[12, 10, 3, -6, 12, 8, -1, 9]","[12, 9, 4, -6, 12, 6, 0, 9]","[10, 13, -17, 5, 14, 15, -3, 8]"
0,-17,-111.65,-214,"[12, -5, 42, -32, -34, 22, 38, 40]","[30, -17, -18, 45, 45, -26, 36, -35]","[38, 47, 11, -17, -4, 47, -39, -24]","[14, 12, 26, -38, -9, 45, 15, -9]","[33, -14, 14, 16, -17, 2, -16, 27]","[-44, -14, 23, 18, 35, 23, -13, 7]","[20, 3, -8, -36, 7, 21, 49, -32]","[-11, 0, 34, 43, -8, 43, -36, -46]","[-3, 41, -49, 10, 2, -32, 1, 43]","[2, 0, -32, -28, -45, 40, 37, 17]"
1,-17,-96.45,-204,"[12, -5, 42, -32, -34, 22, 38, 40]","[6, -14, -19, 42, 39, -24, 33, 10]","[-30, 8, 34, 8, 2, 9, 35, 5]","[38, 47, 11, -17, -4, 47, -39, -24]","[38, 47, 11, -17, -4, 47, -39, -24]","[18, 6, 23, -26, -11, 35, 8, -1]","[29, -8, 17, 4, -15, 12, -9, 19]","[7, -11, 43, -36, -24, 18, 17, 19]","[6, 16, 26, 22, -7, 44, -37, -38]","[21, 31, 19, 4, -5, 0, -38, -32]"
2,-17,-92.25,-203,"[12, -5, 42, -32, -34, 22, 38, 40]","[13, -4, 40, -31, -32, 23, 35, 36]","[6, -14, -19, 42, 38, -24, 33, 10]","[7, -13, 6, 39, 5, -22, 33, 9]","[-7, 7, 29, -8, -4, 21, 22, 2]","[17, 5, 25, -27, -13, 34, 11, 3]","[33, 14, 15, -4, -11, 26, -21, 2]","[34, 25, 13, -9, -8, 33, -27, -7]","[18, -3, 0, -32, 2, 20, 39, 1]","[7, 14, 21, 16, -10, 42, -29, -33]"
3,-17,-77.8,-146,"[12, -5, 42, -32, -34, 22, 38, 40]","[-5, 6, 27, -10, -4, 21, 23, 2]","[9, -11, 5, 24, 4, -13, 34, 7]","[16, -5, 1, -17, 3, 11, 38, 3]","[16, -2, 2, -30, 2, 20, 38, 1]","[9, 8, 27, 1, -17, 36, -9, -11]","[30, 11, 8, -8, -16, 26, -11, 2]","[9, 5, 19, -22, -17, 25, 17, -1]","[-1, -7, 5, 22, -8, -14, 34, 1]","[9, -1, 11, -27, -35, 21, 32, 20]"
4,-17,-75.1,-129,"[12, -5, 42, -32, -34, 22, 38, 40]","[13, -7, 6, 18, 0, -6, 26, 6]","[26, 8, 7, 2, -12, 19, -3, 3]","[13, -7, 9, 3, 3, -6, 26, 7]","[26, 7, 7, -2, -12, 19, -3, 3]","[15, -4, 0, -18, 1, 12, 37, 2]","[11, 7, 17, -4, -20, 34, -1, -8]","[2, -9, 9, 13, -15, -8, 31, 6]","[8, 0, 7, -27, -35, 21, 31, 17]","[9, 3, 0, -20, -10, 21, 23, -4]"
5,-17,-69.9,-125,"[12, -5, 42, -32, -34, 22, 38, 40]","[12, -4, 35, -30, -30, 22, 36, 33]","[15, -4, 0, -18, 1, 12, 37, 2]","[26, 7, 7, -2, -12, 19, -3, 3]","[26, 7, 7, -2, -12, 19, -3, 3]","[21, 6, 5, -5, -11, 20, 5, 1]","[13, -3, -3, -21, -2, 13, 36, 1]","[10, 6, 15, -7, -22, 32, 4, -6]","[12, -1, -4, -22, -3, 15, 34, 0]","[9, 2, 7, -22, -14, 21, 25, 3]"
6,-17,-70.5,-105,"[12, -5, 42, -32, -34, 22, 38, 40]","[12, -5, 36, -31, -30, 21, 38, 35]","[21, 6, 5, -6, -12, 20, 6, 1]","[13, -3, 3, -22, -6, 14, 36, 6]","[16, 0, 8, 3, -14, 9, 10, 4]","[12, -2, 8, 6, -15, 4, 16, 5]","[13, -3, -2, -21, -5, 14, 36, 2]","[17, 5, 6, -7, -12, 21, 4, -1]","[10, 5, 15, -7, -22, 30, 5, -5]","[11, -1, 6, -12, -16, 15, 20, 3]"
7,-17,-68.5,-96,"[12, -5, 42, -32, -34, 22, 38, 40]","[10, -1, 8, 9, -8, 17, 23, 8]","[12, -2, 10, 1, -13, 6, 20, 4]","[10, 1, 7, -22, 0, 21, 6, 14]","[13, -3, -1, -21, -5, 14, 36, 3]","[15, -1, 4, -6, -11, 11, 20, 3]","[14, -2, 2, -12, -8, 12, 26, 3]","[13, -3, -2, -21, -5, 14, 36, 2]","[13, -3, 0, -16, -7, 12, 32, 3]","[19, 5, 5, -10, -16, 20, 5, 4]"
8,-17,-66.4,-93,"[12, -5, 42, -32, -34, 22, 38, 40]","[12, -5, 40, -31, -32, 22, 38, 38]","[9, 2, 1, 8, -23, 18, 36, 2]","[12, 10, 6, -14, 10, 15, 10, 0]","[13, -3, 1, -22, -7, 14, 36, 5]","[11, -2, -1, -21, -5, 14, 36, 3]","[13, -3, 0, -16, -7, 12, 32, 3]","[6, 0, 1, -21, -5, 14, 36, 2]","[6, 0, 1, -20, -5, 14, 35, 2]","[11, -2, 0, -17, -7, 12, 33, 3]"
9,-17,-62.7,-90,"[12, -5, 42, -32, -34, 22, 38, 40]","[11, -4, 36, -30, -30, 21, 38, 35]","[10, 9, 6, -20, 9, 10, 30, 2]","[12, 9, 6, -14, 9, 15, 11, 0]","[10, 0, 0, -7, -14, 16, 36, 3]","[10, 0, 0, -6, -14, 16, 36, 2]","[10, 1, 4, 0, -22, 15, 29, 5]","[12, 5, 4, -16, 3, 15, 17, 0]","[7, -1, 7, -23, -9, 15, 36, 7]","[11, 3, 3, -17, -2, 16, 22, 1]"
0,-17,-137.3,-281,"[32, 40, 4, 9, 16, 12, -19, -11]","[26, 36, 48, 34, 25, -44, -3, 4]","[33, 20, 16, 23, -38, 44, -35, -24]","[-8, -41, 41, 8, 6, 1, -2, 28]","[-49, 37, -19, 47, -31, 16, -8, 24]","[23, 27, 29, 41, -50, 42, -50, -48]","[30, 1, -29, 14, 2, -19, 48, -43]","[-44, 10, 23, 2, -27, 36, -39, 40]","[-32, 44, 27, -22, -9, 7, 10, -39]","[-41, 4, 40, 4, 43, -21, -50, -12]"
1,-17,-122.5,-235,"[32, 40, 4, 9, 16, 12, -19, -11]","[26, 35, 45, 33, 24, -43, -1, 2]","[2, 36, -19, 47, -30, 15, -8, 23]","[-22, -22, 41, 6, 22, -8, -23, 11]","[30, 2, -26, 3, 9, -20, 46, -41]","[-1, 34, 28, 13, -32, 27, -24, -44]","[-8, 37, 28, 6, -27, 22, -16, -43]","[9, 12, 5, 30, -39, 18, -37, -2]","[-34, 38, 26, -18, -12, 12, 1, -24]","[-42, 2, 24, -2, -24, 31, -30, 25]"
2,-17,-112.25,-220,"[32, 40, 4, 9, 16, 12, -19, -11]","[2, 36, -19, 46, -30, 15, -8, 22]","[3, 26, -2, 18, 3, 5, -22, -4]","[-7, 21, -4, 22, -2, 3, -24, -2]","[-18, -12, 39, 7, 12, -2, -23, 1]","[-5, 24, 30, 12, -22, 21, -24, -34]","[-12, 21, 32, 6, -13, 14, -18, -28]","[-18, -6, 37, 6, 8, 0, -21, -4]","[-23, -18, 31, 12, 17, -10, -23, 8]","[-4, 3, 10, 3, -2, 7, 10, -34]"
3,-17,-117.05,-207,"[32, 40, 4, 9, 16, 12, -19, -11]","[5, 0, 23, 13, 7, 0, -23, 2]","[-10, 22, 9, 14, -1, 1, -18, -11]","[-11, 9, 12, 16, 3, 1, -24, -1]","[-16, 21, 25, 10, -19, 17, -23, -19]","[-18, 20, 24, 11, -20, 19, -24, -17]","[-15, 23, 27, 1, -8, 8, -12, -31]","[-20, 21, 18, 14, -27, 22, -29, -12]","[-40, 5, 20, 3, -23, 27, -31, 23]","[-39, 4, 14, 9, 1, 5, -29, 18]"
4,-17,-117.75,-197,"[32, 40, 4, 9, 16, 12, -19, -11]","[-40, 0, 18, 5, 1, 6, 10, 21]","[5, 1, 4, 24, -11, 5, 6, -19]","[-19, 23, 21, 0, 8, 7, 1, -30]","[-18, 22, 23, 5, -14, 13, -17, -23]","[-18, 22, 22, 3, -11, 10, -14, -26]","[-19, 23, 22, 2, -11, 10, -14, -27]","[-40, 5, 20, 3, -23, 27, -31, 22]","[-27, 17, 18, 0, -1, 3, -14, -15]","[-31, 12, 16, 3, 0, 3, -19, -3]"
5,-17,-116.85,-166,"[32, 40, 4, 9, 16, 12, -19, -11]","[-19, 23, 22, 1, -2, 9, -7, -28]","[-19, 23, 21, 1, -1, 8, -6, -29]","[-19, 6, 4, 2, 0, 10, -14, 7]","[-21, 19, 22, 6, -15, 14, -19, -16]","[4, 3, -7, 28, -8, -7, -23, -2]","[-19, 23, 22, 2, -11, 10, -14, -27]","[-33, 9, 17, 8, -19, 19, -27, 7]","[-19, 25, 19, -5, -3, 2, -5, -34]","[-21, 25, 17, -2, -8, 5, -10, -29]"
6,-17,-113.9,-130,"[32, 40, 4, 9, 16, 12, -19, -11]","[-20, 21, 22, 4, -9, 11, -13, -22]","[-20, 21, 21, 3, -7, 11, -12, -23]","[-14, 19, 16, 8, -10, 6, -16, -21]","[4, 3, -7, 28, -8, -7, -23, -2]","[-21, 19, 21, 5, -14, 13, -18, -17]","[-1, 7, -1, 22, -9, -3, -21, -8]","[-7, 13, 4, 15, -8, -2, -17, -14]","[-22, 19, 18, 6, -9, 7, -16, -21]","[-10, 15, 6, 11, -8, 0, -16, -17]"
7,-17,-109.7,-129,"[32, 40, 4, 9, 16, 12, -19, -11]","[8, 18, 5, 9, 9, 9, -17, -19]","[5, 17, 0, 8, -7, 6, 8, -25]","[-21, 17, 15, 10, 9, 1, 1, -22]","[-17, 11, 2, 13, -7, 1, 6, -13]","[-9, 13, 5, 14, 0, -1, -17, -13]","[-14, 19, 15, 8, -10, 6, -16, -21]","[-17, 18, 16, 7, -12, 8, -17, -17]","[-15, 19, 15, 6, -9, 5, -15, -23]","[-14, 16, 11, 9, -10, 5, -17, -17]"
8,-17,-102.8,-125,"[32, 40, 4, 9, 16, 12, -19, -11]","[21, 31, 2, 9, 7, 10, -8, -17]","[16, 26, 2, 8, 2, 8, -3, -19]","[8, 18, 5, 9, 9, 9, -17, -19]","[-21, 17, 15, 10, 9, 1, 1, -22]","[-20, 17, 15, 9, 7, 1, -1, -23]","[-14, 13, 7, 13, -3, 1, -18, -12]","[-16, 18, 15, 7, -11, 8, -17, -17]","[-16, 18, 14, 9, -10, 6, -17, -19]","[-14, 16, 11, 9, -10, 5, -17, -18]"
9,-17,-91.35,-125,"[32, 40, 4, 9, 16, 12, -19, -11]","[30, 39, 5, 9, 15, 12, -19, -11]","[19, 34, 6, 8, 9, 10, -18, -14]","[11, 30, 7, 9, 6, 10, -19, -11]","[5, 11, 13, 9, 8, 8, -21, -8]","[-14, 19, 7, 7, -10, 8, 0, 2]","[-4, 23, 10, 10, 0, 8, -20, -10]","[2, 17, 6, 9, 4, 7, -17, -18]","[-4, 18, 9, 9, 0, 8, -17, -19]","[-2, 10, 11, 2, -2, 10, -17, -18]"
0,-4,-113.25,-254,"[13, 13, 34, 16, 36, 1, -48, 31]","[-24, 48, -1, -1, 9, -22, 48, 33]","[9, 23, 47, -9, -35, -45, 35, 31]","[36, -50, 43, 14, -21, 7, -13, 35]","[47, -19, 20, 27, 4, -10, 3, -34]","[-30, -10, 47, 41, -16, 45, -24, -24]","[-41, 23, -8, 45, -11, -27, 41, -5]","[23, -13, -9, -22, -3, -15, 7, 39]","[-33, 46, -10, -1, 18, -21, 18, -15]","[-44, -3, 12, -15, 28, -13, 37, -2]"
1,-4,-104.2,-245,"[13, 13, 34, 16, 36, 1, -48, 31]","[1, 12, 35, 5, 20, -8, -27, 26]","[14, 5, 33, 15, 36, -14, -37, 10]","[6, -7, 30, 14, 6, 17, 1, -13]","[26, -44, 44, 18, -20, 13, -15, 26]","[-20, -16, 46, 37, -17, 39, -22, -15]","[-37, -6, 29, 12, 6, 15, 7, -13]","[-19, 9, 38, -12, -7, -24, 8, 19]","[-13, -14, 42, 33, -18, 27, -27, -18]","[41, -42, 34, 11, -23, -11, -24, 22]"
2,-4,-93.55,-241,"[13, 13, 34, 16, 36, 1, -48, 31]","[-18, 7, 45, 36, 8, 36, -23, -16]","[-10, 10, 37, -4, 5, 4, -8, 22]","[27, -44, 44, 18, -20, 12, -15, 26]","[-8, 11, 36, -3, 8, -15, -11, 23]","[1, 6, 35, 3, 19, -20, -17, 11]","[26, -43, 35, 18, -17, 8, -6, 17]","[-15, -15, 43, 34, -18, 30, -26, -17]","[-28, 2, 34, 0, -1, -5, 8, 4]","[-37, -6, 29, 12, 6, 15, 7, -13]"
3,-4,-105.8,-201,"[13, 13, 34, 16, 36, 1, -48, 31]","[-15, 9, 43, 5, 2, 30, 6, 8]","[10, 9, 30, 14, 35, -2, -46, 27]","[-18, 6, 45, 36, 7, 36, -23, -16]","[5, 2, 33, 0, 2, -6, 4, 5]","[40, -38, 31, 9, -24, 6, 2, 16]","[13, -34, 44, 23, -19, 18, -19, 12]","[-2, 5, 35, 3, 17, -18, -14, 10]","[-9, 5, 31, -3, 10, -18, -12, 19]","[-12, -7, 19, -3, 13, -22, -16, 11]"
4,-4,-105.3,-200,"[13, 13, 34, 16, 36, 1, -48, 31]","[-15, 9, 43, 5, 2, 29, 6, 8]","[5, 6, 44, 33, 10, 7, 5, 9]","[9, 0, 41, 20, -16, 14, -17, 10]","[5, 5, 31, -3, 10, 3, -12, 19]","[5, 2, 24, 11, 32, -8, -41, 21]","[4, 1, 32, 0, 3, -7, 3, 5]","[-3, 5, 36, 6, 16, -14, -15, 8]","[38, -37, 31, 8, -23, 3, 4, 4]","[6, -7, 19, -3, 13, -22, -16, 0]"
5,-4,-103.0,-191,"[13, 13, 34, 16, 36, 1, -48, 31]","[3, 3, 40, 30, 11, 4, 6, 8]","[-15, 9, 43, 5, 2, 29, 6, 8]","[5, 6, 44, 33, 10, 7, 5, 9]","[8, 7, 24, 11, 32, 8, -40, 21]","[4, 1, 32, 0, 3, -7, 3, 5]","[-3, 5, 36, 6, 16, -14, -15, 8]","[-3, 5, 36, 6, 16, -14, -16, 8]","[6, -7, 19, -3, 13, -22, -16, 0]","[4, -10, 17, -3, 14, -23, -17, -1]"
6,-4,-74.85,-147,"[13, 13, 34, 16, 36, 1, -48, 31]","[3, 2, 36, 16, 7, -1, 5, 7]","[6, 10, 35, 12, 28, -5, -34, 21]","[4, 2, 36, 14, 7, -2, 4, 6]","[-1, -3, 31, 23, 12, -3, 0, 6]","[4, -4, 31, 23, 8, -3, -2, 7]","[4, 8, 35, 10, 24, -8, -30, 18]","[3, -8, 25, 19, 8, -7, -3, 6]","[8, -9, 25, 15, 12, -10, -4, 1]","[9, -4, 28, 0, 4, -10, 0, 10]"
7,-4,-74.45,-122,"[13, 13, 34, 16, 36, 1, -48, 31]","[6, 9, 35, 11, 27, -5, -32, 20]","[-1, -3, 31, 23, 12, -3, 0, 6]","[6, 4, 33, 7, 18, -9, -21, 16]","[7, 0, 30, 3, 10, -9, -9, 12]","[9, -3, 28, 1, 5, -10, -2, 11]","[-7, -9, 25, 15, 12, -9, -4, 2]","[-2, -1, 17, 10, 4, -15, 3, 7]","[4, 9, 18, -3, 14, -22, 3, 0]","[-6, -10, 24, 15, 11, -10, -4, 2]"
8,-4,-75.85,-104,"[13, 13, 34, 16, 36, 1, -48, 31]","[8, 4, 23, 15, 10, -10, 2, 3]","[6, 4, 32, 7, 17, -9, -20, 16]","[-2, 0, 23, 8, 5, 7, -4, 0]","[-12, 9, 5, 7, 9, 0, 1, 8]","[-1, -3, 8, 6, 2, 6, 0, 6]","[4, 6, 10, 6, 8, -12, -5, 7]","[-3, -11, 23, 15, 10, -10, -5, 3]","[-1, -11, 22, 16, 8, -11, -5, 4]","[1, -12, 22, 14, 8, -11, -5, 4]"
9,-4,-73.35,-99,"[13, 13, 34, 16, 36, 1, -48, 31]","[11, 9, 29, 16, 24, -4, -26, 19]","[4, 2, 31, 7, 16, -9, -18, 14]","[2, 9, 14, 7, 5, 6, -5, 5]","[0, 3, 19, 7, 7, 1, 0, 2]","[-4, -3, 21, 7, 5, -2, -2, 2]","[1, 0, 9, 6, 4, 0, -2, 6]","[2, 3, 9, 6, 6, -6, -3, 7]","[4, 0, 19, -1, 12, -19, -1, 8]","[-1, -11, 22, 16, 8, -11, -5, 4]"
0,-9,-119.15,-309,"[26, -12, 25, 23, 26, 28, -1, -24]","[-4, -4, 46, 15, 45, 41, -31, 9]","[9, 48, 16, -13, 44, 21, -2, 5]","[29, -36, 5, 23, 17, -11, 31, 6]","[47, 32, -5, 8, -34, 31, -16, -2]","[8, 34, 26, 14, 13, -12, -23, -1]","[-27, 44, 33, 26, 7, 34, 19, 8]","[-11, -23, -43, 14, 11, -6, 41, 35]","[24, 19, -7, -7, 24, -43, -28, 33]","[48, 10, 49, 5, -37, -46, 23, -43]"
1,-1,-116.8,-309,"[-8, 39, 29, 20, 10, 9, -3, 3]","[-11, 39, 30, 20, 10, 13, -1, 4]","[26, -12, 25, 23, 26, 28, -1, -24]","[29, -34, 4, 21, 17, -10, 28, 4]","[27, -17, 1, 13, 19, -22, 11, 15]","[6, -25, 16, 19, 19, 32, -13, -16]","[3, 23, 23, 14, 9, -19, -18, -1]","[26, 0, -3, 3, 22, -32, -8, 24]","[10, -19, 7, -17, -6, 21, 12, 7]","[-4, -32, 12, 18, 16, 33, -20, -13]"
2,-1,-107.65,-243,"[-8, 39, 29, 20, 10, 9, -3, 3]","[25, -13, 23, 20, 23, 27, 0, -21]","[-16, 26, 13, 19, 17, 9, -8, 12]","[3, 11, 6, 3, 4, 9, 7, 8]","[1, 2, 4, -5, 4, 20, 10, 10]","[-13, 21, 19, 6, 12, -3, -9, 0]","[20, -1, -6, 4, 24, -29, -9, 26]","[23, -1, 7, 0, 22, 22, -16, -29]","[-13, 19, 17, 4, 12, -4, -10, 0]","[8, -17, 3, 3, 12, -4, 9, 2]"
3,-1,-96.4,-217,"[-8, 39, 29, 20, 10, 9, -3, 3]","[-15, 25, 13, 18, 16, 9, -8, 11]","[10, 12, 13, -2, 13, 10, -12, -1]","[-27, 7, -11, 17, 28, 8, -15, 26]","[-15, 4, -9, 9, 19, 9, -5, 21]","[-19, 3, -11, 10, 21, 9, -8, 23]","[17, -2, -7, 4, 25, -27, -10, 27]","[-12, 15, 17, 5, 11, -2, -6, -1]","[-28, 3, -15, 16, 30, 7, -17, 29]","[18, -6, 6, 1, 19, 14, -8, -20]"
4,-1,-103.65,-214,"[-8, 39, 29, 20, 10, 9, -3, 3]","[-20, 3, -11, 11, 22, 9, -9, 24]","[-22, 3, -12, 12, 24, 8, -11, 25]","[-15, 0, -9, 12, 27, 9, -14, 15]","[-12, -1, -7, 7, 17, 8, -4, 16]","[5, -3, 0, 5, 22, 12, -11, -6]","[-14, 0, -6, 10, 19, 7, -7, 14]","[-8, -3, -3, 6, 14, 6, -3, 8]","[-7, 4, 7, -2, 13, -7, -3, 5]","[10, 0, 9, -3, 12, 12, -12, -19]"
5,-1,-111.85,-182,"[-8, 39, 29, 20, 10, 9, -3, 3]","[4, 1, 1, 0, 11, 10, 4, -9]","[-15, -1, -8, 10, 26, 7, -14, 14]","[2, 2, 0, 0, 11, 7, -10, 4]","[-6, 2, 5, -1, 12, -5, -2, 5]","[-3, -4, 0, 1, 6, 4, 0, 3]","[-14, 3, -9, 0, 21, -3, -15, 14]","[-1, -5, 0, -3, 19, 2, -14, -5]","[-14, 2, -7, 9, 9, 9, -15, 0]","[-8, 4, 5, -6, 7, 5, -13, -5]"
6,-1,-100.75,-165,"[-8, 39, 29, 20, 10, 9, -3, 3]","[-6, 24, 19, 14, 9, 7, -2, 3]","[-5, 11, 10, 7, 7, 6, -1, 3]","[-2, -3, 6, -2, 5, 5, 1, 2]","[2, -2, 2, 5, 7, 5, -14, 7]","[-6, -4, 2, 1, 3, 8, 8, -5]","[1, -2, 1, -3, 14, 5, -3, -8]","[-6, -4, -3, 2, 21, 4, -14, 2]","[-1, 0, -3, -14, 5, 6, 3, -2]","[-12, 2, -4, -3, 18, -6, -13, 9]"
